session_id,animal_id,bin_s,window_s,n_neurons,n_windows,k_real,k_real_ci_low,k_real_ci_high,k_null_trial_perm,k_null_trial_perm_ci_low,k_null_trial_perm_ci_high,k_null_bin_shuffle,k_null_bin_shuffle_ci_low,k_null_bin_shuffle_ci_high,delta_trial_perm,delta_bin_shuffle,trial_perm_pass,bin_shuffle_pass,both_pass
steinmetz_session_9,steinmetz,0.3,4.8,180,15,0.3999346373039656,0.3963320732398486,0.48546354851600215,0.39186257658934937,0.3909811765296727,0.39274397664902605,0.39825393504129497,0.3971095112948619,0.39939835878772806,0.008072060714616247,0.0016807022626706414,True,True,True
steinmetz_session_9,steinmetz,0.3,6.0,180,12,0.3979689781974153,0.3960961682273827,0.3994601431263324,0.3892220564344602,0.3875467681868321,0.39089734468208825,0.39317707952021547,0.39117750770614407,0.39517665133428687,0.008746921762955107,0.004791898677199813,True,True,True
steinmetz_session_9,steinmetz,0.3,4.8,240,15,0.39681975852301477,0.3936475249029662,0.48782728516590834,0.38370399695573965,0.3825885292591649,0.38481946465231437,0.40039508158717013,0.40008961126981235,0.4007005519045279,0.01311576156727512,-0.003575323064155367,True,False,False
steinmetz_session_9,steinmetz,0.3,6.0,240,12,0.39461978493064603,0.3930352099543004,0.39637787552220927,0.38115686120821546,0.38091815141799157,0.3813955709984393,0.4005095887369977,0.39821830470012093,0.40280087277387455,0.013462923722430575,-0.005889803806351679,True,False,False
steinmetz_session_38,steinmetz,0.3,4.8,180,15,0.40851764757288345,0.4047966255259136,0.47496672360627157,0.39302661215406476,0.3905480031894197,0.39550522111870984,0.4123165082235287,0.3959265768957443,0.4287064395513131,0.015491035418818688,-0.003798860650645275,True,False,False
steinmetz_session_38,steinmetz,0.3,6.0,180,12,0.40176364821515564,0.39930335481223206,0.40556875665270675,0.39016891437377155,0.38591302486047147,0.39442480388707163,0.4082078205940328,0.3955039958948662,0.4209116452931994,0.011594733841384097,-0.006444172378877178,True,False,False
steinmetz_session_38,steinmetz,0.3,4.8,240,15,0.4030625894000949,0.3989738015619889,0.4769302929435344,0.38661502052188446,0.38605256544861405,0.3871774755951548,0.40543287177518916,0.4008453543541008,0.4100203891962776,0.016447568878210417,-0.0023702823750942903,True,False,False
steinmetz_session_38,steinmetz,0.3,6.0,240,12,0.3976588304623855,0.39536425395496977,0.4001955741258181,0.3815388575928971,0.3808679777821099,0.38220973740368425,0.399351616435724,0.3965665394670317,0.40213669340441627,0.016119972869488408,-0.0016927859733384953,True,False,False
steinmetz_session_1,steinmetz,0.3,4.8,180,15,0.41343972473049684,0.4086456187935835,0.48074886224923374,0.39279911699387415,0.3891996986089256,0.39639853537882275,0.40031052992169125,0.3986620099010423,0.4019590499423403,0.020640607736622685,0.013129194808805589,True,True,True
steinmetz_session_1,steinmetz,0.3,6.0,180,12,0.4114512778304961,0.4090858822645502,0.41231394708751723,0.39370588463812517,0.38949305337585394,0.39791871590039646,0.40109584176618757,0.3999400157612797,0.40225166777109544,0.01774539319237095,0.010355436064308554,True,True,True
steinmetz_session_1,steinmetz,0.3,4.8,240,15,0.40947046283514854,0.40470376431673183,0.48181372854137827,0.3862637713531139,0.3857534794555788,0.386774063250649,0.3945011677678575,0.39197914188340716,0.3970231936523078,0.023206691482034636,0.014969295067291055,True,True,True
steinmetz_session_1,steinmetz,0.3,6.0,240,12,0.40683627456260385,0.40415034633448965,0.40759557739050245,0.38663003631436416,0.38502429916935815,0.38823577345937016,0.393821773407223,0.3937521622098941,0.393891384604552,0.020206238248239694,0.013014501155380831,True,True,True
steinmetz_session_27,steinmetz,0.3,4.8,180,15,0.39529753991253436,0.3909171469072237,0.481388074831797,0.39010501898510885,0.3900056476815014,0.39020439028871623,0.3989325933432978,0.392070596338987,0.4057945903476086,0.0051925209274255035,-0.003635053430763424,True,False,False
steinmetz_session_27,steinmetz,0.3,6.0,180,12,0.3955271066462887,0.39268278764746745,0.3981087686237901,0.38769739212137305,0.38630920262116525,0.38908558162158086,0.38957328544409664,0.3890941697958106,0.39005240109238276,0.007829714524915654,0.005953821202192067,True,True,True
steinmetz_session_27,steinmetz,0.3,4.8,240,15,0.39400833345842,0.39051857158795317,0.4826703388740806,0.3857608585729103,0.3840477153007451,0.3874740018450756,0.39665829950727594,0.388755971853817,0.4045606271607348,0.008247474885509698,-0.002649966048855923,True,False,False
steinmetz_session_27,steinmetz,0.3,6.0,240,12,0.39363901048547856,0.3907823975874765,0.3954249836996262,0.38324944397633126,0.3821567789800984,0.3843421089725641,0.39811801024997573,0.3951907320118268,0.40104528848812465,0.010389566509147297,-0.004478999764497171,True,False,False
steinmetz_session_26,steinmetz,0.3,4.8,180,15,0.4198052496564955,0.41295920863589397,0.4744449406793278,0.39129787477794553,0.38974364905536174,0.39285210050052927,0.40446884114978754,0.4007716309871811,0.408166051312394,0.028507374878549985,0.015336408506707977,True,True,True
steinmetz_session_26,steinmetz,0.3,6.0,180,12,0.40139157507554424,0.3960245186757294,0.4035214543143828,0.38760318220000495,0.385692135850964,0.3895142285490459,0.4097984088138604,0.40456433905091393,0.4150324785768069,0.01378839287553929,-0.008406833738316188,True,False,False
steinmetz_session_26,steinmetz,0.3,4.8,240,15,0.4113778516175658,0.4048217250481098,0.47862646990119984,0.38549620796643697,0.3845279263048051,0.38646448962806884,0.4097079921560992,0.40541376841399795,0.41400221589820047,0.025881643651128827,0.001669859461466583,True,True,True
steinmetz_session_26,steinmetz,0.3,6.0,240,12,0.39250037724062103,0.38774787745223593,0.39404135396349427,0.38210787125500045,0.3808409248272088,0.3833748176827921,0.400261482684081,0.39786370154094175,0.40265926382722034,0.010392505985620581,-0.007761105443459981,True,False,False
steinmetz_session_19,steinmetz,0.3,4.8,180,15,0.40562777640503567,0.40255742195766286,0.4819318957030825,0.3928714568009637,0.3927884721744537,0.39295444142747377,0.40746845236528106,0.39659935449258943,0.41833755023797276,0.012756319604071975,-0.001840675960245397,True,False,False
steinmetz_session_19,steinmetz,0.3,6.0,180,12,0.39924223092300726,0.3970719377712103,0.4000224782549926,0.38998548118124665,0.38996732331435713,0.3900036390481362,0.4031333766969365,0.3980998548877598,0.40816689850611315,0.009256749741760606,-0.0038911457739292388,True,False,False
steinmetz_session_19,steinmetz,0.3,4.8,240,15,0.4003885481232444,0.39788979035886957,0.48079945572791954,0.3848614964171073,0.38304481588868666,0.386678176945528,0.39961872764159856,0.3987794036538554,0.4004580516293418,0.015527051706137107,0.0007698204816458665,True,True,True
steinmetz_session_19,steinmetz,0.3,6.0,240,12,0.39414960736816207,0.3923426174568566,0.3952753260381052,0.38062511458198517,0.3788509087758238,0.38239932038814656,0.40120217466242036,0.3989304826232011,0.4034738667016396,0.0135244927861769,-0.007052567294258294,True,False,False
steinmetz_session_13,steinmetz,0.3,4.8,180,15,0.42678457321591035,0.4192705150670407,0.4633230391138675,0.3949758667550177,0.3946667197628813,0.3952850137471542,0.40582006807637205,0.4025287496997427,0.40911138645300144,0.03180870646089262,0.020964505139538292,True,True,True
steinmetz_session_13,steinmetz,0.3,6.0,180,12,0.42751252704197534,0.41951998286531855,0.43022160380755975,0.3916744157973084,0.39153148337836047,0.3918173482162563,0.4035210010344475,0.3987902399401832,0.4082517621287118,0.03583811124466696,0.023991526007527852,True,True,True
steinmetz_session_13,steinmetz,0.3,4.8,240,15,0.4221557551065812,0.4134292230745302,0.4669355921020162,0.39333431570761324,0.3928134049554517,0.3938552264597748,0.41010644573411414,0.40765830733486297,0.4125545841333653,0.028821439398967974,0.012049309372467065,True,True,True
steinmetz_session_13,steinmetz,0.3,6.0,240,12,0.41844027670543243,0.412792826917547,0.4217308706763778,0.39116923190943637,0.38985380565154293,0.3924846581673298,0.40975786757031935,0.40944176210619154,0.41007397303444715,0.02727104479599607,0.00868240913511309,True,True,True
steinmetz_session_15,steinmetz,0.3,4.8,180,15,0.4051527605958736,0.39906202051999945,0.47571062895695637,0.3916527403970867,0.38965538360321383,0.39365009719095956,0.40129514644859704,0.39615763805608606,0.406432654841108,0.013500020198786877,0.0038576141472765335,True,True,True
steinmetz_session_15,steinmetz,0.3,6.0,180,12,0.4004677075614349,0.39431534943665336,0.40199195153041123,0.3918584786839977,0.38865264877016115,0.39506430859783426,0.40217599219344413,0.39817963585339156,0.40617234853349676,0.008609228877437203,-0.001708284632009227,True,False,False
steinmetz_session_15,steinmetz,0.3,4.8,240,15,0.4004003447755784,0.3960798727907395,0.4793453236637665,0.39034253031576904,0.3895778292217615,0.3911072314097766,0.39297778731540584,0.3893821888136151,0.3965733858171966,0.010057814459809356,0.007422557460172563,True,True,True
steinmetz_session_15,steinmetz,0.3,6.0,240,12,0.39577554332016884,0.3897873754401894,0.39772004567298613,0.3851915089638357,0.383782412720698,0.3866006052069734,0.39021424400773375,0.3885965346067888,0.39183195340867877,0.01058403435633315,0.005561299312435097,True,True,True
steinmetz_session_25,steinmetz,0.3,4.8,180,15,0.44064487781497175,0.43376699920391787,0.4691496870936409,0.38576535125846334,0.38538450934959106,0.38614619316733556,0.4050536533426436,0.40256812734645653,0.40753917933883066,0.05487952655650841,0.03559122447232815,True,True,True
steinmetz_session_25,steinmetz,0.3,6.0,180,12,0.4125603033141275,0.4106384168401278,0.4188211249010323,0.3851553890794581,0.38510567531650775,0.38520510284240844,0.39894459217745204,0.39869873246352433,0.3991904518913797,0.027404914234669397,0.013615711136675479,True,True,True
steinmetz_session_25,steinmetz,0.3,4.8,240,15,0.4312751052799589,0.42554361062581914,0.4767097674187988,0.3811934972342572,0.38089940741933315,0.38148758704918134,0.3914522073314145,0.3863115496460741,0.39659286501675495,0.050081608045701664,0.03982289794854438,True,True,True
steinmetz_session_25,steinmetz,0.3,6.0,240,12,0.40732102297188494,0.4040402541695507,0.412072901618869,0.3801357818593553,0.3787075019242955,0.38156406179441515,0.3914246949118137,0.38782939267994837,0.395019997143679,0.027185241112529623,0.01589632806007124,True,True,True
steinmetz_session_7,steinmetz,0.3,4.8,180,15,0.4178430445868351,0.4096142160861126,0.4774784760893074,0.39249487122690374,0.39225380551714456,0.392735936936663,0.41059973583691556,0.4028543917061303,0.4183450799677008,0.025348173359931336,0.007243308749919519,True,True,True
steinmetz_session_7,steinmetz,0.3,6.0,180,12,0.40652725750754765,0.4049231278732426,0.4083745895350642,0.3907635563840167,0.3888506476755068,0.39267646509252657,0.41117509954398107,0.4032859073710309,0.4190642917169312,0.015763701123530927,-0.004647842036433425,True,False,False
steinmetz_session_7,steinmetz,0.3,4.8,240,15,0.4104177851129239,0.40395671060217303,0.47886660021923544,0.3840359631345435,0.38202807916420406,0.386043847104883,0.4156052341436267,0.4127409850284713,0.4184694832587822,0.026381821978380404,-0.005187449030702784,True,False,False
steinmetz_session_7,steinmetz,0.3,6.0,240,12,0.3991543654649358,0.39772118834346193,0.40099065179363735,0.38109363770823396,0.3806453974774195,0.3815418779390484,0.4122413528758039,0.4054025730326811,0.4190801327189266,0.018060727756701866,-0.013086987410868056,True,False,False
steinmetz_session_20,steinmetz,0.3,4.8,180,15,0.39431735737110424,0.3907743282633659,0.48612531950747795,0.39098704367516335,0.3881787085956202,0.3937953787547065,0.3957125072112758,0.39432927811951024,0.39709573630304135,0.0033303136959408897,-0.0013951498401715834,True,False,False
steinmetz_session_20,steinmetz,0.3,6.0,180,12,0.38783984585961195,0.3832081216395711,0.39137259669414615,0.38777771206909284,0.3843910207453765,0.39116440339280917,0.39489368121731583,0.3941981136854982,0.39558924874913354,6.213379051911438e-05,-0.007053835357703875,True,False,False
steinmetz_session_20,steinmetz,0.3,4.8,240,15,0.3894327577266739,0.3865162893195595,0.4881305466595294,0.38401433018527587,0.3836109032995173,0.3844177570710345,0.3877846406367884,0.3865471036287705,0.3890221776448064,0.005418427541398041,0.0016481170898854924,True,True,True
steinmetz_session_20,steinmetz,0.3,6.0,240,12,0.3847258475984021,0.3824392554607175,0.38801584411830947,0.381803103949449,0.3811756308950475,0.38243057700385047,0.3897428318655105,0.3891307562317411,0.3903549074992799,0.002922743648953119,-0.005016984267108393,True,False,False
steinmetz_session_31,steinmetz,0.3,4.8,180,15,0.4116604015336579,0.40640695323773185,0.4784835709739574,0.39326697618750533,0.3930648120759316,0.3934691402990791,0.42196226844960383,0.41898252800154373,0.424942008897664,0.01839342534615257,-0.010301866915945923,True,False,False
steinmetz_session_31,steinmetz,0.3,6.0,180,12,0.39851909749535774,0.39772258877831873,0.40020783584211744,0.39043806386371993,0.38875718187039293,0.3921189458570469,0.41898117084495123,0.416253366381408,0.4217089753084945,0.008081033631637813,-0.02046207334959349,True,False,False
steinmetz_session_31,steinmetz,0.3,4.8,240,15,0.40687510495443013,0.40138401065963103,0.4795577823322565,0.3881539756021559,0.3864178929951329,0.3898900582091789,0.40240546368726654,0.39896622665254106,0.405844700721992,0.018721129352274213,0.004469641267163593,True,True,True
steinmetz_session_31,steinmetz,0.3,6.0,240,12,0.39304789168806015,0.3922338514858201,0.39510626052642633,0.38399840792170176,0.38392717881155736,0.38406963703184616,0.4010928009129366,0.39760225528627346,0.4045833465395997,0.00904948376635839,-0.00804490922487644,True,False,False
steinmetz_session_37,steinmetz,0.3,4.8,180,15,0.4290926636241479,0.42055957220831836,0.471444171406207,0.39008345530911337,0.38913435231188187,0.39103255830634487,0.4060020958010112,0.40295110494614733,0.40905308665587503,0.039009208315034516,0.023090567823136676,True,True,True
steinmetz_session_37,steinmetz,0.3,6.0,180,12,0.4103480761049535,0.40335266504477735,0.4144989774566209,0.3877635153105939,0.3875723013103104,0.3879547293108774,0.40771598308853185,0.4076334622067252,0.4077985039703385,0.02258456079435961,0.002632093016421644,True,True,True
steinmetz_session_37,steinmetz,0.3,4.8,240,15,0.42056252555337503,0.41321011437936983,0.4738896539922308,0.3879828243866751,0.38478411162887083,0.39118153714447934,0.4070287290907093,0.403875501534265,0.41018195664715357,0.03257970116669995,0.013533796462665726,True,True,True
steinmetz_session_37,steinmetz,0.3,6.0,240,12,0.4031564361759673,0.3975395152001742,0.4076823872653216,0.3821635222290453,0.37902232313354195,0.3853047213245487,0.4034811163404871,0.40121499265473926,0.40574724002623497,0.020992913946921987,-0.0003246801645198083,True,False,False
steinmetz_session_24,steinmetz,0.3,4.8,180,15,0.4222187536830862,0.41430408418487713,0.4757644093379267,0.3913289828831555,0.3892135079395877,0.39344445782672327,0.4031825264496905,0.39502157914910985,0.41134347375027114,0.030889770799930716,0.01903622723339571,True,True,True
steinmetz_session_24,steinmetz,0.3,6.0,180,12,0.4073034844693152,0.4053782777102474,0.40962669907524907,0.3885374231480131,0.38581038411421936,0.3912644621818068,0.3991404142508737,0.39462369584507895,0.40365713265666847,0.018766061321302097,0.008163070218441482,True,True,True
steinmetz_session_24,steinmetz,0.3,4.8,240,15,0.41440051383505994,0.4072261981485945,0.4775283297421591,0.3859839162340454,0.38376462362206026,0.38820320884603055,0.39461309877557676,0.3849482367759263,0.4042779607752272,0.02841659760101456,0.01978741505948317,True,True,True
steinmetz_session_24,steinmetz,0.3,6.0,240,12,0.3989345291688311,0.3964647179548998,0.40266336627748445,0.3842257803533037,0.3800664055581594,0.38838515514844796,0.3929634678458149,0.3842523603614382,0.4016745753301915,0.014708748815527417,0.005971061323016225,True,True,True
steinmetz_session_3,steinmetz,0.3,4.8,180,15,0.39500862354553123,0.3911603302560108,0.48470009997429936,0.3889644772647082,0.38733799785480155,0.39059095667461485,0.4026903328712926,0.3958979701624591,0.40948269558012607,0.0060441462808230595,-0.007681709325761343,True,False,False
steinmetz_session_3,steinmetz,0.3,6.0,180,12,0.3915729883640742,0.38795864684378345,0.39533134607867965,0.38670361509343626,0.3865688605284123,0.38683836965846025,0.3985501980632517,0.39454001456566684,0.40256038156083657,0.004869373270637967,-0.006977209699177478,True,False,False
steinmetz_session_3,steinmetz,0.3,4.8,240,15,0.3905278710472933,0.3875417769408689,0.486899909734234,0.38445597657744857,0.38154452214332535,0.38736743101157184,0.38870276093818656,0.384976928746817,0.39242859312955614,0.006071894469844741,0.0018251101091067423,True,True,True
steinmetz_session_3,steinmetz,0.3,6.0,240,12,0.3871862341437302,0.3857162268733727,0.3902300904773087,0.3810723480390255,0.3796642360585424,0.38248046001950864,0.3875218583584388,0.38368025773884423,0.3913634589780333,0.006113886104704702,-0.0003356242147085631,True,False,False
steinmetz_session_14,steinmetz,0.3,4.8,180,15,0.4397088206580253,0.4287930552043908,0.46524274676562516,0.3929131327053391,0.3923132030563651,0.3935130623543132,0.4191945748158733,0.41475549145377494,0.4236336581779717,0.04679568795268618,0.020514245842152,True,True,True
steinmetz_session_14,steinmetz,0.3,6.0,180,12,0.4239624856717728,0.4222514460596596,0.4277457261061631,0.38918905587761066,0.3890517417606957,0.3893263699945256,0.4118324433308388,0.40984057141584457,0.413824315245833,0.03477342979416215,0.01213004234093401,True,True,True
steinmetz_session_14,steinmetz,0.3,4.8,240,15,0.4344965858966605,0.426704773361601,0.4679353943786342,0.3903659072471958,0.38748174362496485,0.39325007086942665,0.40225139876491806,0.39706850078793976,0.40743429674189635,0.04413067864946474,0.03224518713174246,True,True,True
steinmetz_session_14,steinmetz,0.3,6.0,240,12,0.4200618615455585,0.4174096282004265,0.42410062258834647,0.3830092277762101,0.3791964562954176,0.3868219992570026,0.40682221305916855,0.4024472490460212,0.41119717707231584,0.03705263376934842,0.013239648486389977,True,True,True
steinmetz_session_29,steinmetz,0.3,4.8,180,15,0.3992432689012301,0.3917711919736169,0.4785386017523169,0.3874726445609523,0.3870362479627839,0.3879090411591207,0.39530917214640443,0.39399948991725436,0.3966188543755545,0.011770624340277758,0.0039340967548256445,True,True,True
steinmetz_session_29,steinmetz,0.3,6.0,180,12,0.39582367662355045,0.38059189374568825,0.39810729538353495,0.3883757783323346,0.38800598912844747,0.38874556753622175,0.39653544102981686,0.3944335943146228,0.3986372877450109,0.007447898291215838,-0.000711764406266413,True,False,False
steinmetz_session_29,steinmetz,0.3,4.8,240,15,0.393607810366174,0.3877751419947349,0.475541070679527,0.3862874244141267,0.38476186187095,0.38781298695730343,0.39105924731038333,0.3893935555361215,0.3927249390846451,0.007320385952047259,0.0025485630557906536,True,True,True
steinmetz_session_29,steinmetz,0.3,6.0,240,12,0.38970006198884943,0.3794243518953063,0.3936098715052892,0.38628604173222086,0.38605303581535977,0.38651904764908196,0.3902031096391845,0.38941878437384153,0.39098743490452736,0.0034140202566285693,-0.0005030476503350423,True,False,False
steinmetz_session_32,steinmetz,0.3,4.8,180,15,0.3988779324587579,0.3950483373438756,0.4812528354331973,0.39541947792518994,0.39408259848977684,0.3967563573606031,0.42155769926560005,0.4116814161640322,0.4314339823671679,0.0034584545335679673,-0.02267976680684214,True,False,False
steinmetz_session_32,steinmetz,0.3,6.0,180,12,0.3990080026420925,0.3974509702159015,0.40074188880715433,0.3881863783407065,0.38804095170963043,0.3883318049717826,0.4156347783046043,0.40961957271416466,0.421649983895044,0.010821624301386001,-0.016626775662511806,True,False,False
steinmetz_session_32,steinmetz,0.3,4.8,240,15,0.3939625509887299,0.3908113361259069,0.48506270546656405,0.3865012684594399,0.38352803837361393,0.3894744985452659,0.4044711976717046,0.3949982114885875,0.4139441838548217,0.007461282529290014,-0.010508646682974687,True,False,False
steinmetz_session_32,steinmetz,0.3,6.0,240,12,0.3932317516256425,0.3916175022952242,0.3942030235298144,0.3832849326176192,0.37969636900231873,0.38687349623291967,0.40138426872020116,0.39310274574702914,0.40966579169337325,0.0099468190080233,-0.008152517094558664,True,False,False
steinmetz_session_21,steinmetz,0.3,4.8,180,15,0.41828593329850444,0.41384020900849483,0.48381736883135473,0.3855905432598544,0.3846860582862883,0.38649502823342047,0.40340461547445755,0.3971590661715479,0.4096501647773672,0.03269539003865002,0.014881317824046891,True,True,True
steinmetz_session_21,steinmetz,0.3,6.0,180,12,0.4076362845174044,0.40647962103925117,0.4103458657781266,0.38625401658092995,0.38583612082768487,0.386671912334175,0.40405533024734114,0.39742392770694884,0.41068673278773343,0.021382267936474464,0.0035809542700632746,True,True,True
steinmetz_session_21,steinmetz,0.3,4.8,240,15,0.41184238280973995,0.40765367974258715,0.4852160964398101,0.38432010762505986,0.3817522552076972,0.38688796004242254,0.3993383354355399,0.39511610989583745,0.4035605609752424,0.02752227518468009,0.012504047374200022,True,True,True
steinmetz_session_21,steinmetz,0.3,6.0,240,12,0.4010150009106734,0.399421979768832,0.4033932145083401,0.3830801665046762,0.38270990116285764,0.38345043184649474,0.3977611087931284,0.3922696434945679,0.4032525740916889,0.01793483440599719,0.0032538921175449542,True,True,True
steinmetz_session_12,steinmetz,0.3,4.8,180,15,0.4101502238930488,0.40627316117890666,0.4852475112188285,0.38550257846164404,0.3818978135166677,0.38910734340662045,0.3946300514623492,0.39415631499469606,0.3951037879300023,0.02464764543140474,0.015520172430699586,True,True,True
